127.0.0.1 - - [02/Nov/2023:09:34:01 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:34:03 +0900] "GET /bookrental/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:34:04 +0900] "GET /bookrental/BookServlet?command=book_main HTTP/1.1" 200 6957
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:34:04 +0900] "GET /bookrental/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:34:04 +0900] "GET /bookrental/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:34:04 +0900] "GET /bookrental/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:34:04 +0900] "GET /bookrental/script/header.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:34:04 +0900] "GET /bookrental/script/bookMain.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:34:04 +0900] "GET /bookrental/image/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:34:04 +0900] "GET /bookrental/image/serch.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:34:04 +0900] "GET /bookrental/image/slide1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:34:04 +0900] "GET /bookrental/image/slide2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:34:04 +0900] "GET /bookrental/css/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:34:04 +0900] "GET /bookrental/image/slide3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:34:04 +0900] "GET /bookrental/image/slide4.jpg HTTP/1.1" 304 -
